nombre_audio,cluster
OFF ROLO ACTO 1_13.wav,1248
OFF ROLO ACTO 1_15.wav,1237
ASCENSO-PiSh_02.L.wav,-1
OFF ROLO ACTO 1_17.wav,1239
OFF ROLO ACTO 1_15.wav,1237
OFF ROLO ACTO 1_17.wav,1239
OFF ROLO ACTO 1_18.wav,1238
CRIOLLA FUGA 1_17.wav,1222
OFF ROLO ACTO 1_18.wav,1238
OFF ROLO ACTO 1_19.wav,-1
OFF ROLO ACTO 1_16.wav,1245
Alvarez Forn 1-2.4.wav,1172
Cufr__ 7-Caminando junto al LEHG I-Tr1.2.wav,1195
OFF ROLO ACTO 1_22.wav,1242
OFF ROLO ACTO 1_20.wav,1243
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,1212
OFF ROLO ACTO 1_22.wav,1242
CRUZ DEL SUR 02.12.wav,-1
AGUA FX.wav,-1
OFF ROLO ACTO 1_23.wav,1290
CufrÃ© 9-Cubierta LEHG I-Tr2-Dk_01.wav,1291
OFF ROLO ACTO 1_24.wav,1243
CufrÃ© 9-Cubierta LEHG I-Tr3.wav,1291
CRIOLLA FUGA 1_21.wav,1221
OFF ROLO ACTO 1_26.wav,1244
OFF ROLO ACTO 1_27.wav,-1
OFF ROLO ACTO 1_28.wav,1244
CRUZ DEL SUR 01.3.wav,1190
AVENTURAS LENTO V1-PiSh_02.R.wav,1225
OFF ROLO ACTO 1_02.wav,1235
AVENTURAS V3.4.R.wav,1182
OFF ROLO ACTO 1_04.wav,1250
Alvarez Forn 3-4.3.wav,1228
40 BR LENTO TORMENTA-PiSh_01.R.wav,1234
OFF ROLO ACTO 1_04.wav,1250
C_AGN_371_L1-XOTN_03.wav,61
OFF ROLO ACTO 1_07.wav,1246
Diego Dumas l 1-2.19.wav,1202
OFF ROLO ACTO 1_11.wav,1240
OFF ROLO ACTO 1_14.wav,1241
OFF ROLO ACTO 1_18.wav,1238
OFF ROLO ACTO 1_18.wav,1238
OFF ROLO ACTO 1_23.wav,1290
OFF ROLO ACTO 1_25.wav,-1
OFF ROLO ACTO 1_15.wav,1237
OFF ROLO ACTO 1_21.wav,1245
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,1196
OFF VITO_02.wav,1
OFF VITO_01.wav,10
40 BR LENTO TORMENTA.R.wav,1231
OFF VITO_01.wav,10
Voces franceses 1.wav-AVrP_02.wav,1292
Voces franceses 1.wav-AVrP_01.wav,1292
OFF VITO_12.wav,29
OFF VITO_21.wav,17
OFF VITO_22.wav,28
OFF VITO RUEGO.wav,1220
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
OFF ROLO CRUZ DEL SUR_13.wav,1223
CRUZ DEL SUR 01.25.wav,-1
C0028 (2).wav,1293
C0028 (2).wav,1293
C0028 (2).1.wav,-1
C0032.wav,-1
C0032.1.wav,-1
C0032.2.wav,-1
C0032.3.wav,-1
Dumas yendo al fondeadero (1).wav,1294
Diego Dumas l 1-2.10.wav,1201
Dumas en Iglesia St. Ferdinand (4).wav,1295
Entrevista Bossuet  Canon (1).MOV.wav,-1
C0032.2.wav,-1
Entrevista Bossuet  Canon (2).1.wav,1299
AVENTURAS LENTO V1-PiSh_01.L.wav,1224
Entrevista Bossuet  Canon (1).wav,1300
Entrevista Bossuet  Canon (1).wav,1300
Entrevista Bossuet  Canon (1).wav,1300
C0026.5.wav,-1
CRIOLLA FUGA 1_16.wav,1221
Entrevista Bossuet  Canon (1).wav,1300
Entrevista Bossuet  Canon (1).1.wav,-1
Entrevista Bossuet  Canon (2).wav,-1
ASCENSO-AVrT_03.R.wav,365
Entrevista Bossuet  Canon (2).1.wav,1299
Entrevista Bossuet  Canon (3).wav,1297
CRUZ DEL SUR 01.10.wav,-1
Diego Dumas l 1-2.wav,-1
Diego Dumas l 1-2.1.wav,1207
Diego Dumas l 1-2.2.wav,-1
CRIOLLA FUGA 1_02.wav,1301
CRUZ DEL SUR 01.6.wav,-1
Diego Dumas l 1-2.3.wav,1208
Diego Dumas l 1-2.4.wav,1207
Diego Dumas l 1-2.5.wav,-1
CRUZ DEL SUR 01.28.wav,1192
AVENTURAS V3.4-AVrT_01.R.wav,1178
Diego Dumas l 1-2.6.wav,-1
Diego Dumas l 1-2.7.wav,1208
AVENTURAS V3.4-AVrT_01.L.wav,1180
40 bramadores + mid-AVrT_01.L.wav,-1
Diego Dumas l 1-2.8.wav,1209
Diego Dumas l 1-2.8.wav,1209
Diego Dumas l 1-2.21.wav,1206
Diego Dumas l 1-2.8.wav,1209
Diego Dumas l 1-2.2.wav,-1
Dumas en Iglesia St. Ferdinand (2).wav,1295
Diego Dumas l 1-2.9.wav,1207
Diego Dumas l 1-2.10.wav,1201
Diego Dumas l 1-2.10.wav,1201
Diego Dumas l 1-2.10.wav,1201
Diego Dumas l 1-2.13.wav,-1
Cufr__ 7-Caminando junto al LEHG I-Tr1.wav,1198
Cufr__ 7-Caminando junto al LEHG I-Tr1.1.wav,1198
CRIOLLA FUGA 1_19.wav,1221
Cufr__ 7-Caminando junto al LEHG I-Tr1.2.wav,1195
Cufr__ 8-Caminando junto al LEHG I-Tr1.wav,1196
Boat Horn-SoundBible.com-15322206.L.wav,1302
Cufr__ 13-Patio del museo-Tr1.wav,1303
C0026.14.wav,-1
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,1196
CHACARERA.R.wav,1030
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,1196
CRIOLLA FUGA 1_10.wav,-1
Cufr__ 8-Caminando junto al LEHG I-Tr1.1.wav,1196
Cufr__ 8-Caminando junto al LEHG I-Tr1.2.wav,1194
CRUZ DEL SUR 01.23.wav,1189
Diego Dumas l 1-2.5.wav,-1
Leyenda Voto-Dd_01.wav,-1
Diego Dumas l 1-2.6.wav,-1
DOBLE FUGA.R.wav,1304
Alonso 1-2.wav,1308
Alonso 1-2.7.wav,1309
Alonso 1-2.1.wav,1311
CRIOLLA FUGA 1_18.wav,-1
CufrÃ© 9-Cubierta LEHG I-Tr2-Dk_01.wav,1291
Alonso 1-2.2.wav,-1
Alonso 1-2.8.wav,-1
Alonso 1-2.3.wav,1310
Cufr__ 9-Cubierta LEHG I-Tr1.wav,1212
Porto 1-2-3-4-5-6-7-8-Dd_01.wav,1312
Dumas yendo al fondeadero (1).1.wav,1294
CRUZ DEL SUR 02.5.wav,-1
Dumas en Iglesia St. Ferdinand (4).1.wav,1295
Entrevista Bossuet  Canon (1).MOV.1.wav,1297
Entrevista Bossuet  Canon (1).2.wav,1298
Entrevista Bossuet  Canon (1).2.wav,1298
Entrevista Bossuet  Canon (1).3.wav,1296
Entrevista Bossuet  Canon (2).2.wav,1297
Entrevista Bossuet  Canon (2).3.wav,1297
Entrevista Bossuet  Canon (3).1.wav,1296
C_AGN_371_L1-XOTN_02.wav,-1
C_AGN_371_L1-XOTN_03.wav,61
AVENTURAS V3.4-PiSh_04.L.wav,1178
Diego Dumas l 1-2.11.wav,1206
Diego Dumas l 1-2.12.wav,-1
Diego Dumas l 1-2.13.wav,-1
CAMPANA IGLESIA.aif-AVrP_01.R.wav,1313
Diego Dumas l 1-2.14.wav,-1
Diego Dumas l 1-2.15.wav,1204
Diego Dumas l 1-2.16.wav,1204
Diego Dumas l 1-2.17.wav,1205
Diego Dumas l 1-2.18.wav,1203
Diego Dumas l 1-2.18.wav,1203
Diego Dumas l 1-2.19.wav,1202
Diego Dumas l 1-2.20.wav,1205
Diego Dumas l 1-2.21.wav,1206
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,1199
CHACARERA.R.wav,1030
CHACARERA.L.wav,743
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,1199
CRIOLLA FUGA 1_21.wav,1221
Alonso 1-2.4.wav,1311
Cufr__ 8-Caminando junto al LEHG I-Tr2.1.wav,1197
Alonso 1-2.5.wav,-1
A Cobertizo Chapa VIENTO!-Z2N5_02.L.wav,1217
Alonso 1-2.6.wav,-1
Alonso 1-2.9.wav,1311
Alonso 1-2.7.wav,1309
EL NAVEGANTE SOLITARIO-VFinal Bafici.R.wav,1315
Porto 1-2-3-4-5-6-7-8-9-10.1.wav,1312
CRUZ DEL SUR 02.wav,-1
CRUZ DEL SUR 02.1.wav,1191
CRUZ DEL SUR 02.2.wav,1183
CRUZ DEL SUR 02.3.wav,-1
Campanadas-Tr1-DVerb_01.wav,-1
CRUZ DEL SUR 02.4.wav,1185
CRUZ DEL SUR 02.5.wav,-1
CRUZ DEL SUR 02.6.wav,-1
CRUZ DEL SUR 02.7.wav,-1
CRUZ DEL SUR 02.8.wav,-1
CRUZ DEL SUR 02.9.wav,-1
CRUZ DEL SUR 01.wav,-1
CRUZ DEL SUR 01.1.wav,1186
CRUZ DEL SUR 01.2.wav,-1
CRUZ DEL SUR 01.3.wav,1190
CRUZ DEL SUR 01.4.wav,-1
CRUZ DEL SUR 01.5.wav,-1
CRUZ DEL SUR 01.6.wav,-1
CRUZ DEL SUR 01.7.wav,-1
CRUZ DEL SUR 01.8.wav,-1
CRUZ DEL SUR 01.9.wav,-1
CRUZ DEL SUR 01.10.wav,-1
CRUZ DEL SUR 01.11.wav,1183
CRUZ DEL SUR 01.12.wav,1183
CRUZ DEL SUR 01.13.wav,1187
CRUZ DEL SUR 01.14.wav,-1
CRUZ DEL SUR 01.15.wav,1186
CRUZ DEL SUR 01.16.wav,-1
C_AGN_371_L1_02.7.wav,815
STE-033.wav.1.wav,-1
CRIOLLA FUGA 1_17.wav,1222
Cufr__ 8-Caminando junto al LEHG I-Tr2.2.wav,-1
STE-033.L.wav,-1
STE-033.wav,534
STE-033.wav,534
40 BR LENTO TORMENTA.L.wav,1233
01 - CRUZ DEL SUR-Ãltima.R.wav,1177
STE-XOTN_01.wav,-1
AVENTURAS V3.wav,1179
STE-033.wav,534
STE-033.1.wav,-1
STE-034.wav,-1
AVENTURAS V3.4-PiSh_02.L.wav,1180
C0026.6.wav,-1
STE-034.1.wav,-1
STE-Z2P5_01.wav,833
STE-Z2P5_01.wav,833
STE-Z2P5_01.wav,833
CufrÃ© 9-Cubierta LEHG I-Tr1.wav,-1
C_AGN_371_L1-Z2N5_02.wav,744
C_AGN_371_L1-Z2N5_02.wav,744
Cufr__ 9-Cubierta LEHG I-Tr2.1.wav,1213
C_AGN_371_L1-Z2N5_02.wav,744
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,1200
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,1200
Cufr__ 7-Caminando junto al LEHG I-Tr2-Dd_01.wav,1200
CufrÃ© 9-Cubierta LEHG I-Tr1.wav,-1
Dumas en Iglesia St. Ferdinand (4).1.wav,1295
Cufr__ 9-Cubierta LEHG I-Tr1.wav,1212
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,1212
Cufr__ 9-Cubierta LEHG I-Tr1.1.wav,1212
Alonso 1-2.3.wav,1310
Cufr__ 9-Cubierta LEHG I-Tr1.2.wav,1211
01 - CRUZ DEL SUR-Ãltima.L.wav,1176
Cufr__ 9-Cubierta LEHG I-Tr1.3.wav,1214
ENS ACTO 1 EXTRAS 2_04.R.wav,-1
Cufr__ 9-Cubierta LEHG I-Tr1-Dk_01.wav,1215
EL NAVEGANTE SOLITARIO-VFinal Bafici.L.wav,1315
Cufr__ 9-Cubierta LEHG I-Tr1.3.wav,1214
Cufr__ 7-Caminando junto al LEHG I-Tr2-Z2K5_01.wav,1199
Alvarez Forn 3-4.wav,1229
Alvarez Forn 3-4.wav,1229
Alvarez Forn 3-4.1.wav,-1
Alvarez Forn 3-4.2.wav,1226
Dumas en Iglesia St. Ferdinand (4).wav,1295
Diego Dumas l 1-2.11.wav,1206
Alvarez Forn 1-2.wav,-1
Diego Dumas l 1-2.10.wav,1201
Alvarez Forn 1-Dd_01.wav,-1
CRUZ DEL SUR 02.10.wav,1191
CRUZ DEL SUR 02.11.wav,-1
CRUZ DEL SUR 02.12.wav,-1
CRUZ DEL SUR 02.13.wav,-1
C0026.10.wav,-1
CRUZ DEL SUR 02.14.wav,-1
CRUZ DEL SUR 02.15.wav,-1
CRUZ DEL SUR 02.16.wav,1184
CRUZ DEL SUR 02.17.wav,-1
CRUZ DEL SUR 02.18.wav,-1
CRUZ DEL SUR 02.19.wav,-1
CRUZ DEL SUR 01.17.wav,1188
CRUZ DEL SUR 01.18.wav,-1
CRUZ DEL SUR 01.19.wav,-1
CRUZ DEL SUR 01.20.wav,-1
CRUZ DEL SUR 01.21.wav,-1
CRUZ DEL SUR 01.22.wav,1187
CRUZ DEL SUR 01.23.wav,1189
CRUZ DEL SUR 01.24.wav,-1
CRUZ DEL SUR 01.25.wav,-1
CRUZ DEL SUR 01.26.wav,-1
